Sample name,treatment,Clone,experiment
475_B4_EMT_R1,Control,,Batch4
476_B4_p300_C20_R1,p300,C20,Batch4
477_B4_p300_C19_R1,p300,C19,Batch4
478_B4_p300_C19_R2,p300,C19,Batch4
479_B4_p300_C19_R3,p300,C19,Batch4
480_B4_p300_C12_R1,p300,C12,Batch4
481_B4_p300_C12_R2,p300,C12,Batch4
482_B4_p300_C12_R3,p300,C12,Batch4
483_B4_p300_C20_R2,p300,C20,Batch4
