Sample name,treatment,experiment
565_2,Control,Batch8-2
566_2,Control,Batch8-2
567_2,p300,Batch8-2
568_2,p300,Batch8-2
569_2,p300,Batch8-2
570_2,p300,Batch8-2
571_2,p300,Batch8-2
572_2,p300,Batch8-2
573_2,p300,Batch8-2
574_2,p300,Batch8-2
575_2,p300,Batch8-2
